Country,Year,No. of cases,No. of deaths,No. of cases_median,No. of cases_min,No. of cases_max,No. of deaths_median,No. of deaths_min,No. of deaths_max,WHO Region,Reported No. of Cases,Reported No. of deaths,Changes in inventories,Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross Domestic Product (GDP),Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Population,GDP_per_capita
Afghanistan,2015,369809[247000-524000],175[60-320],369809,247000.0,524000.0,175,60.0,320.0,Eastern Mediterranean,86895.0,49.0,0.0,185698000000.0,1169480000000.0,253694000000.0,1144180000000.0,156783000000.0,156783000000.0,915786000000.0,379660000000.0,33750000.0,33901.62962962963
Algeria,2015,0,0,0,0.0,0.0,0,0.0,0.0,Africa,0.0,0.0,1424560000000.0,3872630000000.0,10457300000000.0,3603310000000.0,16712700000000.0,8486820000000.0,7062260000000.0,6853950000000.0,6104030000000.0,39540000.0,422678.3004552352
Angola,2015,4303582[2882000-6212000],13046[9640-16400],4303582,2882000.0,6212000.0,13046,9640.0,16400.0,Africa,2769305.0,7832.0,836025000000.0,4150850000000.0,9650370000000.0,2292430000000.0,13950300000000.0,4771350000000.0,3935320000000.0,7357940000000.0,4622280000000.0,28130000.0,495922.50266619265
Argentina,2015,0,0,0,0.0,0.0,0,0.0,0.0,Americas,0.0,0.0,89672540808.0,637469000000.0,5002040000000.0,1077670000000.0,5954510000000.0,1016480000000.0,926804000000.0,3924370000000.0,701476000000.0,43260000.0,137644.70642625983
Armenia,2015,0,0,0,0.0,0.0,0,0.0,0.0,Europe,0.0,0.0,5949900000.0,1499240000000.0,4591090000000.0,661301000000.0,5043630000000.0,1045570000000.0,1039620000000.0,3929790000000.0,2116140000000.0,2880000.0,1751260.4166666667
Azerbaijan,2015,0,0,0,0.0,0.0,0,0.0,0.0,Europe,0.0,0.0,48000000.0,20552800000.0,37575700000.0,6747600000.0,54380000000.0,15179400000.0,15131400000.0,30828100000.0,18927900000.0,9860000.0,5515.212981744422
Bangladesh,2015,44948[41000-49000],107[4-180],44948,41000.0,49000.0,107,4.0,180.0,South-East Asia,6608.0,9.0,0.0,2631690000000.0,13495900000000.0,959737000000.0,17833000000000.0,5243090000000.0,5243090000000.0,12536200000000.0,3680850000000.0,157830000.0,112988.65868339353
Belize,2015,9,0,9,0.0,0.0,0,0.0,0.0,Americas,9.0,0.0,16064383.0,2261816618.0,3487480910.0,753635302.0,4420845340.0,732785715.0,716721333.0,2733845608.0,2302933748.0,360000.0,12280.125944444444
Benin,2015,3787806[2518000-6071000],6872[5340-8410],3787806,2518000.0,6071000.0,6872,5340.0,8410.0,Africa,1268347.0,1416.0,15898000000.0,1664380000000.0,5829510000000.0,768307000000.0,6732810000000.0,1395840000000.0,1379940000000.0,5061200000000.0,2156920000000.0,10930000.0,615993.5956084172
Bhutan,2015,34,0,34,0.0,0.0,0,0.0,0.0,South-East Asia,34.0,0.0,-348703937.0,44261735258.0,87430075807.0,23465545079.0,128535000000.0,71286962499.0,71635666436.0,63964530728.0,81549190128.0,740000.0,173695.94594594595
