Country,Year,No. of cases_median,No. of deaths_median,Latitude,Longitude
Burkina Faso,2015,7770245,29833,12.0753083,-1.6880314
Cameroon,2015,7223417,12445,4.6125522,13.1535811
Democratic Republic of the Congo,2015,24159871,46276,-2.9814344,23.8222636
Ghana,2015,7513657,11749,8.0300284,-1.0800271
India,2015,12200000,22326,22.3511148,78.6677428
Mali,2015,6833022,16151,16.3700359,-2.2900239
Mozambique,2015,9496089,15985,-19.302233,34.9144977
Niger,2015,7397212,18769,17.7356214,9.3238432
Nigeria,2015,52697962,98478,9.6000359,7.9999721
Uganda,2015,8182789,13809,1.5333554,32.2166578
Burkina Faso,2010,9221846,43695,12.0753083,-1.6880314
Cameroon,2010,5361329,12340,4.6125522,13.1535811
Democratic Republic of the Congo,2010,23691683,62375,-2.9814344,23.8222636
Ghana,2010,9171294,15241,8.0300284,-1.0800271
India,2010,20490000,30930,22.3511148,78.6677428
Mali,2010,5772983,17725,16.3700359,-2.2900239
Mozambique,2010,8455521,17542,-19.302233,34.9144977
Niger,2010,7007707,21750,17.7356214,9.3238432
Nigeria,2010,60749349,146734,9.6000359,7.9999721
Uganda,2010,11503116,21558,1.5333554,32.2166578
