Country,Year,No. of cases_median,No. of deaths_median,Latitude,Longitude
Burkina Faso,2010,9221846,43695,12.0753083,-1.6880314
Cameroon,2010,5361329,12340,4.6125522,13.1535811
Democratic Republic of the Congo,2010,23691683,62375,-2.9814344,23.8222636
Ghana,2010,9171294,15241,8.0300284,-1.0800271
India,2010,20490000,30930,22.3511148,78.6677428
Mali,2010,5772983,17725,16.3700359,-2.2900239
Mozambique,2010,8455521,17542,-19.302233,34.9144977
Niger,2010,7007707,21750,17.7356214,9.3238432
Nigeria,2010,60749349,146734,9.6000359,7.9999721
Uganda,2010,11503116,21558,1.5333554,32.2166578
Burkina Faso,2017,7907562,27791,12.0753083,-1.6880314
Cameroon,2017,7307515,11566,4.6125522,13.1535811
Democratic Republic of the Congo,2017,25021891,46007,-2.9814344,23.8222636
Ghana,2017,7805045,10917,8.0300284,-1.0800271
India,2017,9590000,16733,22.3511148,78.6677428
Mali,2017,7160192,12425,16.3700359,-2.2900239
Mozambique,2017,10025823,14713,-19.302233,34.9144977
Niger,2017,7702777,17155,17.7356214,9.3238432
Nigeria,2017,53667565,81640,9.6000359,7.9999721
Uganda,2017,8600724,14390,1.5333554,32.2166578
